2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'swaggerParameterDescriptionReader'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'swaggerExpandedParameterBuilder'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'openApiParameterBuilder'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'swaggerApiListingReader'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'inMemorySwaggerResourcesProvider'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'apiResourceController'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'serviceModelToSwagger2MapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'vendorExtensionsMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'propertyMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'compatibilityModelMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'parameterMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'modelMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'requestParameterMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'modelSpecificationMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'licenseMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'securityMapperImpl'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'swagger2ControllerWebMvc'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'javaMailSender'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'corsConfigurer'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'retry'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'awsCredentialsProvider'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 's3Client'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 's3AsyncClient'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'transferManager'
2023-10-30 16:18:24.674 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'api'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'jdbcTemplate'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'objectPostProcessor'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'authenticationManagerBuilder'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'enableGlobalAuthenticationAutowiredConfigurer'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'initializeUserDetailsBeanManagerConfigurer'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'initializeAuthenticationProviderBeanManagerConfigurer'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'delegatingApplicationListener'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'webSecurityExpressionHandler'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'springSecurityFilterChain'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'privilegeEvaluator'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'conversionServicePostProcessor'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'requestDataValueProcessor'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.security.config.annotation.web.configuration.HttpSecurityConfiguration'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'methodSecurityInterceptor'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'methodSecurityMetadataSource'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'preInvocationAuthorizationAdvice'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'authenticationManagerBean'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'metaDataSourceAdvisor'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'org.springframework.web.socket.config.annotation.DelegatingWebSocketMessageBrokerConfiguration'
2023-10-30 16:18:24.675 TRACE 16662 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'stompWebSocketHandlerMapping'
